datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2025-08-18,SZSE.000901,航天科技,12100,19.119555610656732,20.7,250470.0,19123.37711105353,0.08266114660438913
2025-08-18,SZSE.002941,新疆交建,14600,15.867929656505584,15.93,232578.0,906.2270150184631,0.003911685067810184
2025-08-19,SZSE.002549,凯美特气,15900,16.688340305328367,17.76,282384.0,17039.389145278954,0.06421607392135127
2025-08-19,SZSE.002173,创新医疗,10200,25.802895915985104,24.84,253368.0,-9821.538343048072,-0.03731735845155982
2025-08-19,SZSE.000070,特发信息,25800,10.285139732837676,10.01,258258.0,-7098.605107212032,-0.026751190551084953
2025-08-19,SHSE.601208,东材科技,13800,19.199595534324644,18.37,253506.0,-11448.418373680091,-0.043209010983669444
2025-08-19,SHSE.600658,电子城,39000,6.803400190830231,7.71,300690.0,35357.392557621,0.13325686917428495
2025-08-19,SHSE.600580,卧龙电驱,8300,31.895939160346984,34.0,282200.0,17463.704969120037,0.06596641751401332
2025-08-20,SZSE.002549,凯美特气,11800,16.790629594059194,15.98,188564.0,-9565.429209898488,-0.048278689582075485
2025-08-20,SHSE.600580,卧龙电驱,6000,32.424874920765,35.1,210600.0,16050.750475409994,0.08250224822060423
2025-08-20,SHSE.603256,宏和科技,5700,34.81739923667907,36.8,209759.99999999997,11300.824350929266,0.0569428161432665
2025-08-20,SHSE.601929,吉视传媒,52700,3.801899952292442,3.6,189720.0,-10640.127485811681,-0.053105014552185054
2025-08-20,SHSE.601609,金田股份,15600,12.80640019083023,14.75,230100.0,30320.157023048407,0.15176784890428818
2025-08-20,SHSE.600601,方正科技,27100,7.373684885501862,7.58,205418.0,5591.139602899551,0.027979920175839786
2025-08-20,SZSE.002536,飞龙股份,6300,31.665824618339542,32.12,202355.99999999997,2861.304904460849,0.01434276186186582
2025-08-20,SZSE.000561,烽火电子,13900,14.407199618339536,13.62,189318.0,-10942.074694919545,-0.05463932194966438
2025-08-21,SHSE.601609,金田股份,15600,12.80640019083023,13.28,207168.0,7388.157023048407,0.036981493793148947
2025-08-21,SZSE.002536,飞龙股份,14000,31.24211261644363,28.91,404740.0,-32649.576630210853,-0.07464644421056768
2025-08-21,SZSE.002364,中恒电气,11200,21.36067538166046,21.7,243040.0,3800.4357254028437,0.015885481721747058
2025-08-21,SHSE.601606,长城军工,3800,63.031499999999994,62.07,235866.0,-3653.6999999999825,-0.015254277623093143
2025-08-21,SZSE.002052,同洲电子,13100,18.259124999999997,19.19,251389.00000000003,12194.462500000052,0.050981358635750845
2025-08-22,SHSE.600503,华丽家族,75700,3.1015499045848847,3.15,238455.0,3667.672222924244,0.015621252891495916
2025-08-22,SZSE.002645,华宏科技,14100,16.588289923667908,16.89,238149.0,4254.112076282501,0.018188136192484626
2025-08-22,SZSE.002272,川润股份,14300,16.39819438934326,18.98,271414.0,36919.82023239139,0.15744450573988716
2025-08-22,SZSE.002518,科士达,6900,33.66682652664184,35.49,244881.0,12579.896966171305,0.0541534103879798
2025-08-26,SHSE.603626,科森科技,34500,15.377684885501862,15.6,538200.0,7669.871450185776,0.014456995064825262
2025-08-26,SZSE.003009,中天火箭,8300,64.032,62.87,521821.0,-9644.599999999977,-0.01814717641179406
2025-08-26,SZSE.000617,中油资本,42900,12.386190114498138,11.85,508365.0,-23002.555911970092,-0.043289349633873486
2025-08-27,SZSE.002378,章源钨业,113200,14.007,15.4,1743280.0,157687.6000000001,0.09945027486256879
2025-08-28,SZSE.002217,合力泰,87300,3.7818899999999998,3.9,340470.0,10311.003000000026,0.031230416537762946
2025-08-28,SHSE.600728,佳都科技,42800,7.703850000000001,7.42,317576.0,-12148.780000000028,-0.03684521375675807
2025-08-28,SHSE.601579,会稽山,14500,22.63131,22.22,322190.0,-5963.994999999995,-0.01817437876994304
2025-08-28,SZSE.002190,成飞集成,6700,49.014495000000004,48.26,323342.0,-5055.116500000004,-0.015393303552347129
2025-08-28,SZSE.002272,川润股份,17700,18.58929,19.42,343734.00000000006,14703.567000000097,0.044687559341965485
2025-08-29,SZSE.002217,合力泰,54200,3.7627284878749103,3.51,190242.0,-13697.884042820137,-0.06716628337370274
2025-08-29,SHSE.601579,会稽山,14500,22.63131,24.44,354380.0,26226.005000000005,0.07991981020983763
2025-08-29,SZSE.002272,川润股份,10700,18.67221848001641,17.48,187036.0,-12756.737736175593,-0.06384985701042219
2025-08-29,SZSE.001330,博纳影业,37900,5.332664923667908,5.18,196322.0,-5786.000607013702,-0.028628261076434163
2025-08-29,SHSE.600410,华胜天成,8100,24.892439160346985,23.49,190269.0,-11359.757198810577,-0.05633996537314167
2025-09-01,SZSE.002217,合力泰,54200,3.7627284878749103,3.86,209212.0,5272.1159571798635,0.025851323697295554
2025-09-01,SHSE.601579,会稽山,14500,22.63131,25.5,369750.0,41596.005000000005,0.12675757611910227
2025-09-01,SZSE.002272,川润股份,10700,18.67221848001641,17.3,185110.0,-14682.737736175593,-0.07348984704120731
2025-09-01,SZSE.001330,博纳影业,37900,5.332664923667908,5.44,206176.00000000003,4067.9993929863267,0.02012784937146697
2025-09-01,SHSE.600410,华胜天成,8100,24.892439160346985,23.08,186948.0,-14680.757198810577,-0.07281083017505789
2025-09-02,SZSE.002217,合力泰,54200,3.7627284878749103,4.02,217883.99999999997,13944.115957179834,0.06837365835832321
2025-09-02,SHSE.601579,会稽山,14500,22.63131,24.99,362355.0,34201.005000000005,0.10422242459672022
2025-09-02,SZSE.001330,博纳影业,37900,5.332664923667908,5.27,199732.99999999997,-2375.0006070137315,-0.011751145921391657
2025-09-02,SHSE.600410,华胜天成,8100,24.892439160346985,23.87,193347.0,-8281.757198810577,-0.04107428580063396
2025-09-02,SZSE.002232,启明信息,34800,22.981485,22.5,783000.0,-16755.677999999956,-0.02095099598655173
2025-09-04,SZSE.002256,兆新股份,156900,3.351675,3.17,497373.0,-28504.807499999995,-0.05420424116300058
2025-09-04,SZSE.002115,三维通信,47800,11.0055,12.0,573600.0,47537.09999999998,0.09036390895461355
2025-09-04,SHSE.600246,万通发展,36500,14.407199999999998,13.49,492385.0,-33477.79999999993,-0.06366261313787538
2025-09-05,SHSE.600715,文投控股,422500,2.791395,2.69,1136525.0,-42839.38749999995,-0.036324131840889555
2025-09-10,SZSE.002709,天赐材料,10900,27.63381083965301,27.78,302802.0,1593.4618477821932,0.005290228017961849
2025-09-10,SZSE.002407,多氟多,17700,17.018505228996275,16.97,300369.0,-858.5425532340887,-0.0028501462580645784
2025-09-10,SHSE.603200,上海洗霸,2900,101.0505,104.11,301919.0,8872.549999999988,0.030276940737551977
2025-09-10,SHSE.600977,中国电影,17600,17.10855038166046,17.71,311696.0,10585.513282775879,0.035154914058894406
2025-09-11,SHSE.603222,济民健康,124100,12.196095,14.06,1744846.0,231310.61049999995,0.15282801585261507
